Id,Sales
1,3774.0
2,6394.0
3,8508.0
4,7294.0
5,6978.0
6,5501.0
7,6933.0
8,7148.0
9,4646.0
10,5268.0
11,6401.0
12,7951.0
13,6845.0
14,9116.0
15,5420.0
16,4536.0
17,4979.0
18,8888.0
19,10444.0
20,8735.0
21,7629.0
22,3995.0
23,5313.0
24,3800.0
25,7082.0
26,10069.0
27,9167.0
28,5006.0
29,5022.0
30,3878.0
31,5972.0
32,9750.0
33,5890.0
34,4840.0
35,4925.0
36,7450.0
37,3254.0
38,7068.0
39,3883.0
40,6710.0
41,6040.0
42,5110.0
43,7715.0
44,6844.0
45,4733.0
46,6190.0
47,6866.0
48,11163.0
49,5673.0
50,7617.0
51,6622.0
52,8039.0
53,5921.0
54,8527.0
55,4297.0
56,4850.0
57,5601.0
58,5523.0
59,8905.0
60,7188.0
61,5030.0
62,7065.0
63,6535.0
64,9252.0
65,3592.0
66,11907.0
67,4486.0
68,5985.0
69,7855.0
70,4497.0
71,5862.0
72,5488.0
73,6988.0
74,5348.0
75,6000.0
76,7809.0
77,7254.0
78,6696.0
79,4896.0
80,7052.0
81,11716.0
82,6047.0
83,4062.0
84,6213.0
85,5738.0
86,4898.0
87,7526.0
88,3733.0
89,7537.0
90,5477.0
91,6513.0
92,6686.0
93,4068.0
94,8015.0
95,4703.0
96,7798.0
97,8162.0
98,4945.0
99,4784.0
100,7305.0
101,5584.0
102,5416.0
103,7864.0
104,6287.0
105,7139.0
106,5218.0
107,4117.0
108,6409.0
109,7948.0
110,7429.0
111,7927.0
112,7226.0
113,5362.0
114,8277.0
115,5028.0
116,6111.0
117,8761.0
118,6137.0
119,9316.0
120,7298.0
121,6704.0
122,5519.0
123,6664.0
124,7120.0
125,5966.0
126,3543.0
127,4668.0
128,7218.0
129,3877.0
130,4026.0
131,7888.0
132,6512.0
133,5471.0
134,5658.0
135,4826.0
136,6796.0
137,6678.0
138,6190.0
139,5446.0
140,5387.0
141,5950.0
142,3507.0
143,5692.0
144,4615.0
145,7877.0
146,6999.0
147,5824.0
148,12962.0
149,4369.0
150,5078.0
151,9561.0
152,6032.0
153,8126.0
154,7017.0
155,5179.0
156,5990.0
157,5264.0
158,8364.0
159,10215.0
160,5931.0
161,3070.0
162,4094.0
163,7745.0
164,7870.0
165,5537.0
166,6358.0
167,4780.0
168,5374.0
169,3138.0
170,4793.0
171,5881.0
172,6951.0
173,6221.0
174,6199.0
175,7525.0
176,8636.0
177,7582.0
178,4578.0
179,8657.0
180,9381.0
181,5335.0
182,7530.0
183,5449.0
184,6173.0
185,3583.0
186,6484.0
187,4869.0
188,8420.0
189,6807.0
190,7806.0
191,7151.0
192,5237.0
193,8053.0
194,17318.0
195,8741.0
196,4929.0
197,2736.0
198,5580.0
199,7487.0
200,5629.0
201,12602.0
202,18097.0
203,4385.0
204,4760.0
205,9185.0
206,4521.0
207,7916.0
208,6206.0
209,7085.0
210,5316.0
211,5726.0
212,5491.0
213,6991.0
214,9473.0
215,5983.0
216,5539.0
217,6740.0
218,4465.0
219,4703.0
220,7476.0
221,5766.0
222,5024.0
223,6570.0
224,5781.0
225,5527.0
226,6859.0
