,0
0,4494.287690073252
1,4468.215032413602
2,4303.121234178543
3,4378.222234100103
4,4424.223972469568
5,4437.971976220608
6,4472.3997530043125
7,4423.641506642103
8,4415.312245309353
9,4339.06040507555
10,4306.495738059282
11,4283.316686153412
12,4327.671831607819
13,4341.918675988913
14,4340.783275812864
15,4338.51052325964
16,4424.289885878563
17,4493.268818557262
18,4426.155054330826
19,4347.799841612577
20,4320.558472126722
21,4354.173494338989
22,4346.343215614557
23,4338.769278645515
24,4325.465276420116
25,4364.564102590084
26,4485.8692841380835
27,4472.999753147364
28,4399.114229142666
29,4377.183769583702
30,4357.376559466124
31,4307.191680014133
32,4252.693465411663
33,4231.733072340488
34,4280.837639182806
35,4327.230776131153
36,4323.454438269138
37,4264.034334182739
38,4263.649182647467
39,4325.15604776144
40,4380.813869833946
41,4354.876286745071
42,4332.084941983223
43,4332.576222270727
44,4483.659853890538
45,4437.297295510769
46,4334.056736111641
47,4302.701688408852
48,4314.6068142950535
49,4319.303881198168
50,4295.560607671738
51,4296.783785909414
52,4297.76680791378
53,4315.00942915678
54,4297.674060612917
55,4284.221549123526
56,4328.267075479031
57,4357.599216878414
58,4343.32678091526
59,4213.068432301283
60,4388.836032181978
61,4453.95730894804
62,4286.156286925077
63,4336.198868662119
64,4287.838977813721
65,4281.9737847447395
66,4328.48543804884
67,4326.831284791231
68,4268.29464045167
69,4256.536497563124
70,4274.3207303881645
71,4302.406018674374
72,4314.087244838476
73,4590.7525852918625
74,4896.318204760551
75,5159.490534424782
76,4876.4468204677105
77,4518.645658493042
78,4373.366861432791
79,4322.401243507862
80,4263.3908886909485
81,4559.189095750451
82,4559.309475570917
83,4472.213495269418
84,4341.438789457083
85,4303.456870794296
86,4117.468894600868
87,4458.630488008261
88,4345.687914937735
89,4420.12009075284
90,4453.215898454189
91,4448.415045440197
92,4429.969406872988
93,4403.6220035254955
94,4365.3165873885155
95,4307.576157152653
96,4275.8255580067635
97,4258.124417960644
98,4301.527599155903
99,4426.696168988943
100,4458.474808841944
101,4487.525123387575
102,4475.371393561363
103,4420.15139696002
104,4360.378618866205
105,4320.068682610989
106,4309.352837651968
107,4293.569575488567
108,4257.575246036053
109,4336.302796751261
110,4221.958436787128
111,4301.890779554844
112,4304.8488611876965
113,4259.037586659193
114,4260.320537745953
115,4274.369819372892
116,4403.034426480532
117,4419.0877313017845
118,4378.589993298054
119,4353.5339887440205
120,4434.810546219349
121,4330.736716389656
122,4374.704722613096
123,4333.916106641293
124,4334.905127227306
125,4372.568482160568
126,4357.4109182059765
127,4325.361987233162
128,4331.5968562066555
129,4406.422560274601
130,4302.7919155955315
131,4374.9100231826305
132,4359.484049320221
133,4365.23757648468
134,4370.298427194357
135,4362.698401719332
136,4321.876988768578
137,4244.710453569889
138,4350.1377266943455
139,4189.612664759159
140,4331.6976962685585
141,4337.377252757549
142,4464.799692034721
143,4574.2852718532085
144,4551.887402102351
145,4450.84979519248
146,4352.102173447609
