,0
0,3459.903806447983
1,3226.5613939762115
2,3378.468765735626
3,4004.0531789660454
4,4836.647722005844
5,4688.126425355673
6,4701.17365989089
7,3919.8379908800125
8,4667.778242558241
9,4512.784156858921
10,4606.67754176259
11,4234.357292085886
12,4006.346340894699
13,3711.040283739567
14,4416.944178968668
15,4557.870667845011
16,4779.753375738859
17,4534.8520158827305
18,4272.022528231144
19,3854.5417613983154
20,3857.7324389219284
21,4614.041173428297
22,4545.819481819868
23,4679.684504270554
24,4493.016363456845
25,4463.433648169041
26,4416.411228060722
27,4623.020659714937
28,4581.587604403496
29,4478.4002158641815
30,4245.082685083151
31,4227.486892908812
32,4201.459047138691
33,4201.394518017769
34,4290.073147773743
35,4078.598937392235
36,4086.1808606386185
37,4146.349048197269
38,4533.516035914421
39,4597.4540658295155
40,4568.378905087709
41,4406.221732020378
42,4462.474797964096
43,4505.220584303141
44,4655.266550034285
45,4592.459199517965
46,4394.541996628046
47,4263.422940284014
48,4044.3746509552
49,4261.477980047464
50,4494.870919033885
51,4646.523209095001
52,4554.641230255365
53,4489.99327352643
54,4378.985118806362
55,4398.204716384411
56,4514.597272530198
57,4604.444685101509
58,4555.420832902193
59,4384.137616485357
60,4054.9105029702187
61,3467.8834108114243
62,4474.302084267139
63,4184.760770559311
64,4652.025896161795
65,4432.317159444094
66,4447.458750844002
67,4240.064711809158
68,4400.8494164943695
69,4711.534807652235
70,4695.034022837877
71,4438.008855074644
72,4050.542612671852
73,4035.9214780926704
74,4129.811420023441
75,4543.966452509165
76,4643.612122267485
77,4701.502020120621
78,4614.171332001686
79,4562.447266191244
80,4478.877883985639
81,4634.318686544895
82,4710.670940905809
83,4785.738895386457
84,4788.941605567932
85,4368.406744301319
86,2629.7248106002808
87,5069.219015032053
88,2410.489642381668
89,4359.360847681761
90,3044.07985496521
91,4424.685224354267
92,4190.609387665987
93,4756.603677839041
94,4741.541381299496
95,4540.084536060691
96,4233.398264408112
97,3991.478803038597
98,4236.569952338934
99,4496.293771952391
100,4643.912406295538
101,4621.490098536015
102,4639.463872343302
103,4609.981979370117
104,4595.699143499136
105,4709.741196244955
106,4720.569878429174
107,4569.881106108427
108,4539.220722556114
109,4543.324036359787
110,2807.2775741815567
111,5275.409291356802
112,3688.5424790382385
113,4638.112026304007
114,3985.4915796518326
115,3927.839033961296
116,3541.300796985626
117,4519.100556850433
118,4348.952243685722
119,4696.024037271738
120,4902.00929698348
121,4357.018454790115
122,4713.162410974503
123,4674.711431622505
124,4706.574087113142
125,4473.713051944971
126,4176.405704677105
127,3716.540450692177
128,4300.936721116304
129,4761.643089830875
130,4465.593173056841
131,4680.41065210104
132,4573.040867865086
133,4532.49893912673
134,4490.407708078623
135,4499.47520314157
136,4368.433081269264
137,4138.08924973011
138,4476.657397180796
139,3066.3031446933746
140,5147.39537063241
141,3981.5883132219315
142,4624.3880523741245
143,4122.8463923335075
144,4188.968402892351
145,4186.293567895889
146,4528.841525807977
