,0
0,4405.518265217543
1,4401.599842607975
2,4360.486593335867
3,4405.238781005144
4,4419.388938188553
5,4425.989756137133
6,4427.4633485376835
7,4375.0754988491535
8,4407.663769751787
9,4410.645348787308
10,4418.2732374966145
11,4408.140390783548
12,4409.526347100735
13,4403.257651805878
14,4402.208112984896
15,4404.444696575403
16,4410.309996128082
17,4409.415533065796
18,4407.250471025705
19,4405.994779765606
20,4401.840353786945
21,4412.692213922739
22,4407.126630485058
23,4408.308457553387
24,4406.471897721291
25,4407.956919372082
26,4404.0616037249565
27,4411.375613987446
28,4411.461652815342
29,4411.626312106848
30,4405.206658422947
31,4407.302967488766
32,4409.416988343
33,4406.677091807127
34,4409.476796686649
35,4404.270844191313
36,4403.050221562386
37,4400.398138582706
38,4405.486994504929
39,4407.803014934063
40,4409.234049350023
41,4402.867992460728
42,4405.841833680868
43,4405.126937627792
44,4409.345750749111
45,4413.149987339973
46,4407.07164940238
47,4410.100436210632
48,4405.849216550589
49,4405.9344744980335
50,4407.7740868628025
51,4410.7424974143505
52,4404.681835770607
53,4407.582345217466
54,4407.127375870943
55,4405.806410104036
56,4407.866834163666
57,4409.881292760372
58,4412.494722157717
59,4408.149157941341
60,4408.456185936928
61,4399.92868745327
62,4405.722607433796
63,4406.923956513405
64,4403.086284041405
65,4402.772725045681
66,4411.424419015646
67,4405.215816020966
68,4402.201581984758
69,4410.354222357273
70,4414.935470491648
71,4412.140379905701
72,4402.300398856401
73,4408.035255879164
74,4406.747796982527
75,4408.0129652917385
76,4407.3453125059605
77,4408.18742108345
78,4407.075766772032
79,4409.444035202265
80,4405.957474976778
81,4410.237445235252
82,4417.471557229757
83,4413.198330938816
84,4410.8763474226
85,4428.951245248318
86,4369.060589700937
87,4432.874885559082
88,4384.16001355648
89,4404.04477930069
90,4413.760387390852
91,4411.113131672144
92,4407.774761259556
93,4406.6021982729435
94,4414.612860381603
95,4412.368467986584
96,4407.773518949747
97,4404.435361504555
98,4407.857712060213
99,4411.193491369486
100,4410.767663061619
101,4406.008587151766
102,4409.525140285492
103,4409.324347525835
104,4404.9985892772675
105,4407.51636081934
106,4415.521982699633
107,4411.778193354607
108,4411.1223602592945
109,4435.505494326353
110,4376.027995526791
111,4404.342969149351
112,4412.543740153313
113,4406.732889264822
114,4407.973637312651
115,4405.214254260063
116,4404.809225767851
117,4411.344130307436
118,4405.841443240643
119,4403.486023843288
120,4434.20401507616
121,4386.793426394463
122,4406.8077473044395
123,4410.753074795008
124,4415.456814676523
125,4414.492391824722
126,4412.599999040365
127,4403.324097633362
128,4406.443821519613
129,4433.992148011923
130,4385.555375933647
131,4407.067106097937
132,4411.914173036814
133,4410.4311390817165
134,4409.711380273104
135,4413.00808006525
136,4412.455216705799
137,4407.8172127604485
138,4433.138042271137
139,4376.641412615776
140,4406.87958830595
141,4408.666597723961
142,4408.500483155251
143,4410.947833478451
144,4408.517946481705
145,4408.322442412376
146,4406.576855152845
